iteracion,satisfechos,aislados,bloqueados,solicitudes,aceptadas,rechazadas,sinDestino,hash
1,4056562,0,0,3370542,767654,2602888,0,80c8d4548d414b80
2,4729584,0,0,2697520,429105,2268415,0,aff046e74c0a9e3d
3,5024000,0,0,2403104,268423,2134681,0,12bdd14e4a18f750
4,5192454,0,0,2234650,181409,2053241,0,7956b607c5c7de36
5,5301432,0,0,2125672,130471,1995201,0,c1e6ee27ee3035ca
6,5377907,0,0,2049197,98656,1950541,0,862c7e6dd71643ae
7,5435673,0,0,1991431,77789,1913642,0,66641e5ad3de0337
8,5481530,0,0,1945574,63582,1881992,0,07e9fc2ffbb9028f
9,5519311,0,0,1907793,53168,1854625,0,09a82e779a9ccd3b
10,5551304,0,0,1875800,45717,1830083,0,0c80d61df31bab08
11,5579201,0,0,1847903,39677,1808226,0,6794e3da668ad55c
12,5604080,0,0,1823024,35172,1787852,0,bd1327e18af3cd84
13,5626284,0,0,1800820,31644,1769176,0,b2888341d8d46966
14,5646412,0,0,1780692,28549,1752143,0,1f54d5571b34faf9
15,5664804,0,0,1762300,25678,1736622,0,f6ee8a7205398477
16,5681542,0,0,1745562,23555,1722007,0,aa576de15b0e506c
17,5696984,0,0,1730120,21648,1708472,0,c6d7a8aec375a126
18,5711338,0,0,1715766,19735,1696031,0,2564d89176611739
19,5724626,0,0,1702478,18015,1684463,0,b01519352878b1b6
20,5736798,0,0,1690306,16334,1673972,0,6c3a69dd6213946e
21,5747794,0,0,1679310,14672,1664638,0,8d1c53d473725b59
22,5757847,0,0,1669257,13185,1656072,0,8f635cbd4fddc943
23,5766769,0,0,1660335,11792,1648543,0,eb7c7f6092a57c37
24,5774807,0,0,1652297,10120,1642177,0,f8c7d03a26e914f0
25,5781534,0,0,1645570,8953,1636617,0,49a227c1e4fd882a
26,5787439,0,0,1639665,7709,1631956,0,29ee421a0cc72485
27,5792393,0,0,1634711,6430,1628281,0,80c1350193d467f3
28,5796524,0,0,1630580,5536,1625044,0,1bf5d6809941e63f
29,5800021,0,0,1627083,4826,1622257,0,c2de7962c4cee312
30,5803046,0,0,1624058,4100,1619958,0,46d3d8984f3372e3
31,5805513,0,0,1621591,3595,1617996,0,9c60ff016e9c8786
32,5807688,0,0,1619416,3216,1616200,0,cc1f809bf2583ade
33,5809572,0,0,1617532,2842,1614690,0,8cca40ae0943dc2e
34,5811281,0,0,1615823,2428,1613395,0,9e8b6f2c2bab0661
35,5812644,0,0,1614460,2106,1612354,0,5e230f08af61c560
36,5813900,0,0,1613204,1925,1611279,0,c7ad3a82b0b5f04a
37,5815046,0,0,1612058,1722,1610336,0,8fc1fc8cebebdaba
38,5816079,0,0,1611025,1512,1609513,0,14ed0ae6616f0b1a
39,5817034,0,0,1610070,1266,1608804,0,926631e183e295c3
40,5817792,0,0,1609312,1122,1608190,0,25e5c52f69302180
41,5818445,0,0,1608659,1086,1607573,0,847f745b7f328d44
42,5819086,0,0,1608018,908,1607110,0,15cdfbd650fe88a7
43,5819635,0,0,1607469,779,1606690,0,aa6bb09c1855c292
44,5820084,0,0,1607020,671,1606349,0,9a756b45d07dba3b
45,5820477,0,0,1606627,627,1606000,0,bf82fd63f0d9d693
46,5820803,0,0,1606301,577,1605724,0,7256feca268e4468
47,5821147,0,0,1605957,519,1605438,0,c71fe203de9c268a
48,5821480,0,0,1605624,453,1605171,0,1441deec3a9e9634
49,5821734,0,0,1605370,431,1604939,0,daf548295b07a40e
50,5821980,0,0,1605124,403,1604721,0,0ea82b6d554e4eef
51,5822224,0,0,1604880,373,1604507,0,6795e2b6784f28e9
52,5822434,0,0,1604670,330,1604340,0,a5366814ad1f2fe3
53,5822633,0,0,1604471,281,1604190,0,5e77ae44105dbb4a
54,5822812,0,0,1604292,245,1604047,0,cda1d73f96d04110
55,5822943,0,0,1604161,239,1603922,0,3293ffbd90333e50
56,5823105,0,0,1603999,209,1603790,0,ada0269298833b7a
57,5823250,0,0,1603854,185,1603669,0,a6a11d344146e81b
58,5823352,0,0,1603752,170,1603582,0,92e740e82176eba0
59,5823449,0,0,1603655,140,1603515,0,352122cfa058b72a
60,5823541,0,0,1603563,116,1603447,0,cc72878e01aae079
61,5823607,0,0,1603497,88,1603409,0,d1cedfe654525179
62,5823659,0,0,1603445,89,1603356,0,e1eae1201f48be10
63,5823685,0,0,1603419,90,1603329,0,23a596841908a6d4
64,5823744,0,0,1603360,71,1603289,0,c8de615fc90b0794
65,5823784,0,0,1603320,79,1603241,0,96be7641e625a7c7
66,5823816,0,0,1603288,78,1603210,0,535bd28c33a457ac
67,5823865,0,0,1603239,74,1603165,0,f9b06c5f2b6d48c3
68,5823893,0,0,1603211,52,1603159,0,d332cd9678776e83
69,5823916,0,0,1603188,55,1603133,0,96308664b861f241
70,5823949,0,0,1603155,42,1603113,0,6951c7adaf033be2
71,5823962,0,0,1603142,35,1603107,0,3610863d51473426
72,5823970,0,0,1603134,37,1603097,0,aa8f6073758630e6
73,5823994,0,0,1603110,40,1603070,0,b74881a759c02bdc
74,5824009,0,0,1603095,38,1603057,0,bd0647b7c469dc3f
75,5824019,0,0,1603085,39,1603046,0,b1e058fd7ecd1b9d
76,5824033,0,0,1603071,36,1603035,0,533596779252c3fe
77,5824051,0,0,1603053,27,1603026,0,0923b06f45101561
78,5824065,0,0,1603039,21,1603018,0,4aae456b0e3dfbc0
79,5824073,0,0,1603031,17,1603014,0,db6c303832f74324
80,5824077,0,0,1603027,17,1603010,0,bfdc4d8bbab3a331
81,5824081,0,0,42,15,27,1602981,890757ddd651dddd
82,5824084,0,0,38,13,25,1602982,cde460ae3d2600a3
83,5824087,0,0,36,13,23,1602981,ccd191f5f5e5b95c
84,5824086,0,0,1603018,14,1603004,0,f298405631fce361
85,5824091,0,0,1603013,16,1602997,0,32f068ae604d91d4
86,5824094,0,0,1603007,13,1602994,3,b1fa94304b868886
87,5824096,0,0,30,13,17,1602978,4ca22a10afada425
88,5824100,0,0,27,11,16,1602977,4d99572930037a56
89,5824100,0,0,1603004,12,1602992,0,ac7e311d6d1e977d
90,5824103,0,0,26,13,13,1602975,b8d3d7b04e23eb9e
91,5824106,0,0,1602998,11,1602987,0,f03f72175c8e2463
92,5824107,0,0,1602995,12,1602983,2,c2c6c454513a015b
93,5824109,0,0,21,10,11,1602974,ed302fe4c694fad6
94,5824111,0,0,20,10,10,1602973,09d3e3aae72bfdb4
95,5824109,0,0,21,12,9,1602974,9c631b45d262ef4f
96,5824112,0,0,1602992,15,1602977,0,908a97167dc5a4c5
97,5824116,0,0,1602988,12,1602976,0,2fca536572075263
98,5824119,0,0,1602985,12,1602973,0,8de2d92e60914362
99,5824119,0,0,19,10,9,1602966,5d6f29ec4ef3471e
100,5824121,0,0,18,10,8,1602965,34642bf4a08eb34d
101,5824119,0,0,18,10,8,1602967,79f3b350eb4af490
102,5824120,0,0,18,10,8,1602966,07e7b4557872d1ad
103,5824120,0,0,17,10,7,1602967,2b996b94551dff28
104,5824122,0,0,16,10,6,1602966,27c0187ed8819356
105,5824122,0,0,15,9,6,1602967,0205896ff9290990
106,5824122,0,0,15,9,6,1602967,b9164e3df1287c1b
107,5824122,0,0,15,9,6,1602967,f5d7991d4640fbea
108,5824122,0,0,15,9,6,1602967,d77b95048ff7bdcc
109,5824123,0,0,1602978,9,1602969,3,ff27ec60d9102c69
110,5824124,0,0,1602979,9,1602970,1,b4b7951a4d43f2de
111,5824126,0,0,14,8,6,1602964,4bb4a620fa31c9ae
112,5824126,0,0,14,8,6,1602964,cf6459c65ed5a391
113,5824126,0,0,14,8,6,1602964,83fedf506e37e993
114,5824126,0,0,14,8,6,1602964,3c7821c083e238f0
115,5824126,0,0,14,8,6,1602964,1fed7069df893106
116,5824126,0,0,14,8,6,1602964,fa743ca25668876f
117,5824126,0,0,14,8,6,1602964,6b11409185d20320
118,5824126,0,0,14,8,6,1602964,378895c97790f2f1
119,5824126,0,0,14,8,6,1602964,2727dfd9ac4ed4dc
120,5824126,0,0,14,8,6,1602964,3ea707e4112391c4
121,5824126,0,0,14,8,6,1602964,c54f01d6a2ba3f26
122,5824126,0,0,14,8,6,1602964,55243665913e50f4
123,5824126,0,0,14,8,6,1602964,db0be36a3731b8ae
124,5824126,0,0,14,8,6,1602964,473a4cc7431c43a5
125,5824126,0,0,14,8,6,1602964,cf9043854af2b092
126,5824126,0,0,14,8,6,1602964,b99ee003b764cd66
127,5824126,0,0,14,8,6,1602964,5cd15a0e2f608376
128,5824126,0,0,14,8,6,1602964,33d65bc8c199a427
129,5824126,0,0,14,8,6,1602964,57ea50b6b3dd5b72
130,5824126,0,0,14,8,6,1602964,1bad99982a513c10
131,5824126,0,0,14,8,6,1602964,8d22401338ae5215
132,5824126,0,0,14,8,6,1602964,5664c527e26f713e
133,5824126,0,0,14,8,6,1602964,5e5e6f132fc367af
134,5824126,0,0,14,8,6,1602964,5ef9061c48d6cd34
135,5824126,0,0,14,8,6,1602964,e5fa47b629c21c3a
136,5824126,0,0,14,8,6,1602964,4be7eaa082082f62
137,5824126,0,0,14,8,6,1602964,0b3ab34f7f1650ed
138,5824126,0,0,14,8,6,1602964,c043007273903568
139,5824126,0,0,14,8,6,1602964,25cf1fc95766d30f
140,5824126,0,0,14,8,6,1602964,38994f9957d73873
141,5824126,0,0,14,8,6,1602964,1143a4f64a4390ff
142,5824126,0,0,14,8,6,1602964,060d6060151e231d
143,5824126,0,0,14,8,6,1602964,098052874a64e313
144,5824126,0,0,14,8,6,1602964,a30409c5a8ac5d41
145,5824126,0,0,14,8,6,1602964,c7c37b0544a5cea3
146,5824126,0,0,14,8,6,1602964,a3ff538148b3abbd
147,5824126,0,0,14,8,6,1602964,5d11981cedb24344
148,5824126,0,0,14,8,6,1602964,0365db2d0a27bd51
149,5824126,0,0,14,8,6,1602964,5ee15492c3f98eb5
150,5824126,0,0,14,8,6,1602964,617d9ac4dac9c6a2
151,5824126,0,0,14,8,6,1602964,ba98519f427baf29
152,5824126,0,0,14,8,6,1602964,61dd2436edc41cbc
153,5824126,0,0,14,8,6,1602964,6f8ce6ee8a31d976
154,5824126,0,0,14,8,6,1602964,ecd618ac38db128b
155,5824126,0,0,14,8,6,1602964,6b240340ee36e504
156,5824126,0,0,14,8,6,1602964,e83c6123bb702bfe
157,5824126,0,0,14,8,6,1602964,d09a2454d0a96412
158,5824126,0,0,14,8,6,1602964,c77cb9bb4a4fd3a5
159,5824126,0,0,14,8,6,1602964,bc819af63d8c0b3e
160,5824126,0,0,14,8,6,1602964,0c9a738c6a5aca9d
161,5824126,0,0,14,8,6,1602964,d77eadc194910594
162,5824126,0,0,14,8,6,1602964,9b5d38fcb6a80873
163,5824126,0,0,14,8,6,1602964,1d040ef2ff0c23f0
164,5824126,0,0,14,8,6,1602964,f5d845e54337ef40
165,5824126,0,0,14,8,6,1602964,412c4ec334d39b2e
166,5824126,0,0,14,8,6,1602964,43eebe4f8749f80e
167,5824126,0,0,14,8,6,1602964,5cc51fe10c333535
168,5824126,0,0,14,8,6,1602964,a5f13cd3692e7f71
169,5824126,0,0,14,8,6,1602964,0d3c2ff7379b054c
170,5824126,0,0,14,8,6,1602964,fda304922d2f1c5c
171,5824126,0,0,14,8,6,1602964,963697efe874ec78
172,5824126,0,0,14,8,6,1602964,fc91939c9520da69
173,5824126,0,0,14,8,6,1602964,ce424736d1636408
174,5824126,0,0,14,8,6,1602964,b9a88e55e7adfe76
175,5824126,0,0,14,8,6,1602964,7d138b481e194858
176,5824126,0,0,14,8,6,1602964,396f6e856673c3c6
177,5824126,0,0,14,8,6,1602964,9180137d82de696e
178,5824126,0,0,14,8,6,1602964,6c733c5cb8e7d922
179,5824126,0,0,14,8,6,1602964,3e762102a630eefe
180,5824126,0,0,14,8,6,1602964,fb9221213e1e8123
181,5824126,0,0,14,8,6,1602964,ed91993e6f99c0ce
182,5824126,0,0,14,8,6,1602964,89b0f16a6ede55a7
183,5824126,0,0,14,8,6,1602964,de76f78a9bf1dde2
184,5824126,0,0,14,8,6,1602964,4c522dfbc07f26a5
185,5824126,0,0,14,8,6,1602964,4d02c694510b1659
186,5824126,0,0,14,8,6,1602964,4b53e825619b07d6
187,5824126,0,0,14,8,6,1602964,6b3c66f12bb37802
188,5824126,0,0,14,8,6,1602964,12f626a294f829ef
189,5824126,0,0,14,8,6,1602964,31403733fe4fb5ed
190,5824126,0,0,14,8,6,1602964,926f117247252459
191,5824126,0,0,14,8,6,1602964,0a78c529d7b21cfb
192,5824126,0,0,14,8,6,1602964,b6af8a6fdfb2a461
193,5824126,0,0,14,8,6,1602964,86129890e023d6f3
194,5824126,0,0,14,8,6,1602964,2262f96ec30e3549
195,5824126,0,0,14,8,6,1602964,7ce98fae42ab6a66
196,5824126,0,0,14,8,6,1602964,2be7c693217a201e
197,5824126,0,0,14,8,6,1602964,38b30c4c40ff3f9d
198,5824126,0,0,14,8,6,1602964,c3962ff4fc77f055
199,5824126,0,0,14,8,6,1602964,bc950ed3e00ef3d1
200,5824126,0,0,14,8,6,1602964,2d0af00fea3991f6
201,5824126,0,0,14,8,6,1602964,c8a7aac9e76608b4
202,5824126,0,0,14,8,6,1602964,e17b86cfed0ce5ea
203,5824126,0,0,14,8,6,1602964,fb0c771729e1f24d
204,5824126,0,0,14,8,6,1602964,709413c942696b6b
205,5824126,0,0,14,8,6,1602964,73ef32cc1d967181
206,5824126,0,0,14,8,6,1602964,f6ee383cc1cbf8b8
207,5824126,0,0,14,8,6,1602964,9da64d38e05c10c8
208,5824126,0,0,14,8,6,1602964,999895fe06003c6d
209,5824126,0,0,14,8,6,1602964,9c99698804915772
210,5824126,0,0,14,8,6,1602964,1c805d86ad5263f5
211,5824126,0,0,14,8,6,1602964,7db763303bbe6221
212,5824126,0,0,14,8,6,1602964,5c22845e1c4d2a42
213,5824126,0,0,14,8,6,1602964,d9ad5515293ad7c6
214,5824126,0,0,14,8,6,1602964,3c89b635249c85f1
215,5824126,0,0,14,8,6,1602964,d9b69c2181c302f3
216,5824126,0,0,14,8,6,1602964,1d192d775ef42dc3
217,5824126,0,0,14,8,6,1602964,ada55f127f877170
218,5824126,0,0,14,8,6,1602964,ccb37744cba17586
219,5824126,0,0,14,8,6,1602964,2b134f026f0d3c64
220,5824126,0,0,14,8,6,1602964,ae807d68d87725ff
221,5824126,0,0,14,8,6,1602964,e79cb1cc97969d31
222,5824126,0,0,14,8,6,1602964,c8911f957a2af4bd
223,5824126,0,0,14,8,6,1602964,c32b5348d80498f0
224,5824126,0,0,14,8,6,1602964,85435ec802c1dfb0
225,5824126,0,0,14,8,6,1602964,de5e6ee9891e4bcf
226,5824126,0,0,14,8,6,1602964,b4c24d14b8d706ab
227,5824126,0,0,14,8,6,1602964,eeb285bacd85f5c1
228,5824126,0,0,14,8,6,1602964,43f336a270a12f38
229,5824126,0,0,14,8,6,1602964,1b9642edc9be74f6
230,5824126,0,0,14,8,6,1602964,13105ae4f3a79146
231,5824126,0,0,14,8,6,1602964,a1a3dffb77b260cf
232,5824126,0,0,14,8,6,1602964,1d8a55b12f9aaae2
233,5824126,0,0,14,8,6,1602964,01cf19e3ac3d7bb1
234,5824126,0,0,14,8,6,1602964,94b9e89f1119db4b
235,5824126,0,0,14,8,6,1602964,84a5397fe2c428d3
236,5824126,0,0,14,8,6,1602964,a179db4334b28b5e
237,5824126,0,0,14,8,6,1602964,7e69e08f8679a2b3
238,5824126,0,0,14,8,6,1602964,c189b2d1538b2fd4
239,5824126,0,0,14,8,6,1602964,4fc0f7c2641536f4
240,5824126,0,0,14,8,6,1602964,6b39928d840ed346
