iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
1,55.466594392,1.165998949,2.271623279,51.600124940,0.128692365,0.296717593
2,23.711239584,1.227989201,2.211658687,19.886591258,0.111347643,0.267622726
3,13.885297563,1.273573446,2.164302260,10.085901441,0.104044871,0.251429942
4,9.493309615,1.316013144,2.129270973,5.700895015,0.099984102,0.240795190
5,7.498045759,1.350514485,2.108777177,3.702840608,0.096825352,0.233457854
6,6.487489603,1.385664940,2.099232781,2.672774096,0.094422330,0.229346951
7,5.900484733,1.425962963,2.088991719,2.060859156,0.093460033,0.225940311
8,5.532793803,1.453616230,2.079624991,1.678708119,0.091922692,0.222906170
9,5.304446219,1.475358293,2.076245222,1.435276966,0.091209409,0.220510598
10,5.132397918,1.498798434,2.074309243,1.244261034,0.090849579,0.219340243
11,5.024817804,1.524429731,2.072449329,1.114146784,0.089740217,0.218223428
12,4.948664209,1.554423935,2.070464883,1.012023526,0.089225673,0.216888546
13,4.883794293,1.559482351,2.069362774,0.931086561,0.095154086,0.222769349
14,4.814915390,1.569159972,2.068646469,0.869396536,0.088219729,0.214446749
15,4.754501443,1.570844541,2.066633287,0.809223417,0.088169318,0.214036765
16,4.761385199,1.602320644,2.068740431,0.783987716,0.087779207,0.212750473
17,4.738365144,1.620852272,2.066826925,0.743283337,0.087534395,0.213724744
18,4.711224179,1.627736883,2.069995540,0.705201612,0.088366535,0.213421075
19,4.695036583,1.635110419,2.068288108,0.686112698,0.086927821,0.212679680
20,4.661432124,1.638910222,2.071691368,0.647789675,0.086792502,0.210630778
21,4.647513259,1.655597963,2.070010126,0.620923453,0.086589182,0.208678912
22,4.620791936,1.650174054,2.073308995,0.596211803,0.086505445,0.208563239
23,4.620864640,1.668067265,2.070810384,0.581098397,0.086162392,0.208867535
24,4.586735904,1.668603467,2.074216547,0.544425892,0.086159307,0.207710095
25,4.578632229,1.678154873,2.072514187,0.530040147,0.086819819,0.206428178
26,4.573621871,1.690935002,2.071873395,0.512305024,0.085856565,0.207295456
27,4.545520030,1.683509681,2.074003991,0.491374632,0.085859744,0.206068543
28,4.521443026,1.684359875,2.072270738,0.468892395,0.085551211,0.205358203
29,4.543230948,1.701717391,2.075741821,0.470554887,0.085436918,0.205467135
30,4.527545279,1.692839631,2.072479201,0.465947522,0.085712929,0.205235399
31,4.542830115,1.700767421,2.074370468,0.472040508,0.085749242,0.204441558
32,4.570341288,1.706168707,2.075393400,0.493516572,0.085436986,0.204216033
33,4.584840654,1.705169121,2.072145758,0.512131968,0.085657049,0.204085388
34,4.612871104,1.717152250,2.075218335,0.525388497,0.085442808,0.204198442
35,4.578097474,1.701223517,2.073086998,0.508315387,0.085731409,0.203898848
36,4.623342543,1.707132102,2.072537124,0.548310840,0.085518484,0.204009485
37,4.645330647,1.704203665,2.075282649,0.571679661,0.085600258,0.203263022
38,4.737293986,1.716488363,2.072660349,0.652585489,0.085541725,0.203516947
39,4.835494730,1.714098429,2.072919567,0.753537246,0.085626368,0.203235613
40,4.988349571,1.709875777,2.075689096,0.908541520,0.085543389,0.203035758
41,4.771343643,1.725555269,2.072092334,0.679399120,0.085539739,0.203209991
42,4.810691415,1.715349059,2.073114340,0.727805358,0.085540297,0.203162192
43,5.057892622,1.715154734,2.072703236,0.975660860,0.085518233,0.203111461
44,5.155959500,1.717772012,2.075106152,1.068628573,0.085618726,0.202766088
45,5.627833605,1.709224815,2.073412254,1.550751331,0.085267133,0.203186237
46,5.965652689,1.717203801,2.076485801,1.877363112,0.085583164,0.202888635
47,5.976109135,1.725419067,2.073485554,1.882673648,0.085713561,0.202561940
48,5.572405719,1.719317700,2.076296358,1.482235916,0.085608117,0.202763495
49,7.346984201,1.727783870,2.073666852,3.250928784,0.085563442,0.202850643
50,6.608564259,1.722127221,2.080310508,2.511445517,0.085732272,0.202759601
51,8.288863551,1.713061820,2.074655713,4.207549138,0.085304618,0.202878795
52,6.832614951,1.721448084,2.074143867,2.742234285,0.085649319,0.202796388
53,6.556719141,1.718495973,2.076871314,2.467454249,0.085439674,0.202766038
54,8.683738386,1.720381479,2.075305815,4.593642531,0.085622359,0.202612202
55,9.123924203,1.727702433,2.077145162,5.025064489,0.085444053,0.202562744
56,8.154859492,1.724259625,2.075373160,4.062278753,0.085423811,0.202470697
57,8.869499313,1.717938942,2.074795328,4.782419453,0.086033113,0.202596219
58,10.214147913,1.725852260,2.077172530,6.117299795,0.085522767,0.202538032
59,12.945374348,1.728896188,2.075265495,8.846647801,0.085696829,0.202900350
60,11.877451365,1.714707409,2.079180371,7.788967211,0.086080569,0.202785187
61,15.739472348,1.739900648,2.078034090,11.627585479,0.085701844,0.203034719
62,13.919244901,1.724244937,2.075628901,9.825274502,0.086013068,0.202571604
63,80.926680429,1.720119973,2.077187229,76.835154158,0.085891694,0.202854403
64,15.770070741,1.732885215,2.075625126,11.666092654,0.086120459,0.202731900
65,33.664013633,1.718828448,2.075896392,29.574957214,0.086004556,0.202531102
66,33.120053525,1.717274374,2.077911772,29.030753919,0.085729742,0.202619766
67,99.206261284,1.745935608,2.075900204,95.090224360,0.085860468,0.202846583
68,19.309660867,1.721548384,2.075955889,15.217875998,0.085477395,0.203071129
69,44.539881651,1.729054107,2.075549286,40.435134448,0.091596896,0.202697578
70,41.982304398,1.726526344,2.078278106,37.882663805,0.086027380,0.203080789
71,101.283555277,1.732274930,2.076475937,97.179878393,0.086156816,0.203070571
72,576.044539228,1.737178900,2.076695201,571.935601136,0.086205494,0.202997255
73,101.252970195,1.736201694,2.075166899,97.146706652,0.085970621,0.203132539
74,52.803667540,1.720601956,2.076369157,48.702339723,0.092827098,0.205873633
75,72.844343917,1.742798270,2.075072583,68.731443631,0.086092172,0.203135083
76,39.194164156,1.718002333,2.078938698,35.102288138,0.085875350,0.203322842
77,77.949499029,1.722127324,2.076377501,73.856141741,0.086040829,0.203130125
78,77.890611300,1.723093536,2.076176358,73.796533979,0.085839088,0.203249407
79,201.952190811,1.719716181,2.075927995,197.861430147,0.086010844,0.203178055
80,514.257290034,1.729481554,2.077953405,510.154836390,0.086144489,0.203236496
81,4.083978115,1.732726881,2.075991227,0.068095310,0.017279748,0.184116947
82,4.084626098,1.731760339,2.078846920,0.067704084,0.017419378,0.182981362
83,4.099563264,1.741725964,2.083097355,0.070207617,0.017223569,0.182346420
84,247.396766337,1.718752202,2.075952079,243.307406912,0.086200857,0.203106430
85,104.703425814,1.723371053,2.075622463,100.609646167,0.085901215,0.203140893
86,247.556293382,1.721312793,2.078160599,243.461711859,0.086102332,0.203313896
87,4.070333274,1.716312520,2.080077972,0.068961219,0.017230631,0.182634094
88,4.074446587,1.725169190,2.075871050,0.067858149,0.017217011,0.183162106
89,496.936434544,1.723735769,2.078912538,492.838908681,0.086078461,0.203029641
90,4.096413889,1.746352318,2.077535082,0.067983472,0.017414104,0.182003436
91,509.231362781,1.729087372,2.079070494,505.127998499,0.086289781,0.203085821
92,509.581844339,1.720502749,2.076274461,505.490150706,0.085940987,0.203309031
93,4.076937371,1.723203722,2.079146059,0.069298537,0.016859115,0.182354853
