iteracion,trabajoMinimo,trabajoMaximo,trabajoPromedio,desbalance,solicitudesRemotas,bytesComunicados
1,1684434,1686108,1685271.000,1.000496656,15599,346809088
2,1348311,1349209,1348760.000,1.000332898,7720,346809088
3,1201119,1201985,1201552.000,1.000360367,6919,346809088
4,1117263,1117387,1117325.000,1.000055490,7393,346809088
5,1062321,1063351,1062836.000,1.000484553,6826,346809088
6,1023894,1025303,1024598.500,1.000687586,7665,346809088
7,995287,996144,995715.500,1.000430344,9584,346809088
8,972323,973251,972787.000,1.000476980,8661,346809088
9,953360,954433,953896.500,1.000562430,9662,346809088
10,937519,938281,937900.000,1.000406227,10119,346809088
11,923624,924279,923951.500,1.000354456,9601,346809088
12,911049,911975,911512.000,1.000507947,9781,346809088
13,899933,900887,900410.000,1.000529759,9996,346809088
14,889736,890956,890346.000,1.000685127,10521,346809088
15,880527,881773,881150.000,1.000707031,12105,346809088
16,872008,873554,872781.000,1.000885675,13585,346809088
17,864364,865756,865060.000,1.000804568,13060,346809088
18,857225,858541,857883.000,1.000767004,12971,346809088
19,850563,851915,851239.000,1.000794137,12238,346809088
20,844497,845809,845153.000,1.000776191,12641,346809088
21,839043,840267,839655.000,1.000728871,12757,346809088
22,834016,835241,834628.500,1.000733859,13173,346809088
23,829546,830789,830167.500,1.000748644,15278,346809088
24,825548,826749,826148.500,1.000726867,18319,346809088
25,822219,823351,822785.000,1.000687908,15467,346809088
26,819299,820366,819832.500,1.000650743,19990,346809088
27,816801,817910,817355.500,1.000678407,19928,346809088
28,814760,815820,815290.000,1.000650075,23564,346809088
29,813043,814040,813541.500,1.000612753,22766,346809088
30,811648,812410,812029.000,1.000469195,27559,346809088
31,810480,811111,810795.500,1.000389124,23317,346809088
32,809461,809955,809708.000,1.000305048,24728,346809088
33,808516,809016,808766.000,1.000309113,37269,346809088
34,807725,808098,807911.500,1.000230842,36338,346809088
35,807052,807408,807230.000,1.000220507,39929,346809088
36,806482,806722,806602.000,1.000148772,31517,346809088
37,805945,806113,806029.000,1.000104215,45543,346809088
38,805429,805596,805512.500,1.000103661,45250,346809088
39,805004,805066,805035.000,1.000038508,47108,346809088
40,804651,804661,804656.000,1.000006214,41581,346809088
41,804329,804330,804329.500,1.000000622,60432,346809088
42,803995,804023,804009.000,1.000017413,58234,346809088
43,803700,803769,803734.500,1.000042925,65590,346809088
44,803459,803561,803510.000,1.000063472,68676,346809088
45,803255,803372,803313.500,1.000072823,90093,346809088
46,803105,803196,803150.500,1.000056652,78283,346809088
47,802937,803020,802978.500,1.000051683,98084,346809088
48,802758,802866,802812.000,1.000067264,81502,346809088
49,802646,802724,802685.000,1.000048587,158223,346809088
50,802522,802602,802562.000,1.000049840,96228,346809088
51,802415,802465,802440.000,1.000031155,117652,346809088
52,802321,802349,802335.000,1.000017449,92495,346809088
53,802215,802256,802235.500,1.000025554,104375,346809088
54,802135,802157,802146.000,1.000013713,102774,346809088
55,802071,802090,802080.500,1.000011844,100830,346809088
56,801976,802023,801999.500,1.000029302,103130,346809088
57,801882,801972,801927.000,1.000056115,87044,346809088
58,801827,801925,801876.000,1.000061107,128794,346809088
59,801771,801884,801827.500,1.000070464,165061,346809088
60,801733,801830,801781.500,1.000060490,154384,346809088
61,801697,801800,801748.500,1.000064235,120829,346809088
62,801671,801774,801722.500,1.000064237,79518,346809088
63,801654,801765,801709.500,1.000069227,366181,346809088
64,801627,801733,801680.000,1.000066111,141194,346809088
65,801613,801707,801660.000,1.000058628,614619,346809088
66,801601,801687,801644.000,1.000053640,616623,346809088
67,801576,801663,801619.500,1.000054265,602364,346809088
68,801556,801655,801605.500,1.000061751,224627,346809088
69,801544,801644,801594.000,1.000062376,304120,346809088
70,801528,801627,801577.500,1.000061753,454251,346809088
71,801522,801620,801571.000,1.000061130,608876,346809088
72,801515,801619,801567.000,1.000064873,801459,346809088
73,801506,801604,801555.000,1.000061131,566384,346809088
74,801498,801597,801547.500,1.000061756,411789,346809088
75,801494,801591,801542.500,1.000060508,161608,346809088
76,801489,801582,801535.500,1.000058014,318523,346809088
77,801481,801572,801526.500,1.000056767,746507,346809088
78,801473,801566,801519.500,1.000058015,509378,346809088
79,801471,801560,801515.500,1.000055520,801545,346809088
80,801467,801560,801513.500,1.000058015,801547,346809088
81,801466,801557,801511.500,1.000056768,0,346809088
82,801463,801557,801510.000,1.000058639,0,346809088
83,801463,801554,801508.500,1.000056768,0,346809088
84,801461,801557,801509.000,1.000059887,801435,346809088
85,801461,801552,801506.500,1.000056768,801436,346809088
86,801459,801551,801505.000,1.000057392,801434,346809088
87,801460,801548,801504.000,1.000054897,0,346809088
88,801457,801547,801502.000,1.000056145,0,346809088
89,801458,801546,801502.000,1.000054897,801543,346809088
90,801455,801546,801500.500,1.000056769,0,346809088
91,801454,801544,801499.000,1.000056145,801542,346809088
92,801453,801544,801498.500,1.000056769,801542,346809088
93,801451,801544,801497.500,1.000058016,0,346809088
94,801449,801544,801496.500,1.000059264,0,346809088
95,801451,801544,801497.500,1.000058016,0,346809088
96,801448,801544,801496.000,1.000059888,801542,346809088
97,801445,801543,801494.000,1.000061136,801541,346809088
98,801443,801542,801492.500,1.000061760,801540,346809088
99,801445,801540,801492.500,1.000059264,0,346809088
100,801443,801540,801491.500,1.000060512,0,346809088
101,801445,801540,801492.500,1.000059264,0,346809088
102,801444,801540,801492.000,1.000059888,0,346809088
103,801444,801540,801492.000,1.000059888,0,346809088
104,801442,801540,801491.000,1.000061136,0,346809088
105,801442,801540,801491.000,1.000061136,0,346809088
106,801442,801540,801491.000,1.000061136,0,346809088
107,801442,801540,801491.000,1.000061136,0,346809088
108,801442,801540,801491.000,1.000061136,0,346809088
109,801441,801540,801490.500,1.000061760,801538,346809088
110,801440,801540,801490.000,1.000062384,801538,346809088
111,801439,801539,801489.000,1.000062384,0,346809088
112,801439,801539,801489.000,1.000062384,0,346809088
113,801439,801539,801489.000,1.000062384,0,346809088
114,801439,801539,801489.000,1.000062384,0,346809088
115,801439,801539,801489.000,1.000062384,0,346809088
116,801439,801539,801489.000,1.000062384,0,346809088
117,801439,801539,801489.000,1.000062384,0,346809088
118,801439,801539,801489.000,1.000062384,0,346809088
119,801439,801539,801489.000,1.000062384,0,346809088
120,801439,801539,801489.000,1.000062384,0,346809088
121,801439,801539,801489.000,1.000062384,0,346809088
122,801439,801539,801489.000,1.000062384,0,346809088
123,801439,801539,801489.000,1.000062384,0,346809088
124,801439,801539,801489.000,1.000062384,0,346809088
125,801439,801539,801489.000,1.000062384,0,346809088
126,801439,801539,801489.000,1.000062384,0,346809088
127,801439,801539,801489.000,1.000062384,0,346809088
128,801439,801539,801489.000,1.000062384,0,346809088
129,801439,801539,801489.000,1.000062384,0,346809088
130,801439,801539,801489.000,1.000062384,0,346809088
131,801439,801539,801489.000,1.000062384,0,346809088
132,801439,801539,801489.000,1.000062384,0,346809088
133,801439,801539,801489.000,1.000062384,0,346809088
134,801439,801539,801489.000,1.000062384,0,346809088
135,801439,801539,801489.000,1.000062384,0,346809088
136,801439,801539,801489.000,1.000062384,0,346809088
137,801439,801539,801489.000,1.000062384,0,346809088
138,801439,801539,801489.000,1.000062384,0,346809088
139,801439,801539,801489.000,1.000062384,0,346809088
140,801439,801539,801489.000,1.000062384,0,346809088
141,801439,801539,801489.000,1.000062384,0,346809088
142,801439,801539,801489.000,1.000062384,0,346809088
143,801439,801539,801489.000,1.000062384,0,346809088
144,801439,801539,801489.000,1.000062384,0,346809088
145,801439,801539,801489.000,1.000062384,0,346809088
146,801439,801539,801489.000,1.000062384,0,346809088
147,801439,801539,801489.000,1.000062384,0,346809088
148,801439,801539,801489.000,1.000062384,0,346809088
149,801439,801539,801489.000,1.000062384,0,346809088
150,801439,801539,801489.000,1.000062384,0,346809088
151,801439,801539,801489.000,1.000062384,0,346809088
152,801439,801539,801489.000,1.000062384,0,346809088
153,801439,801539,801489.000,1.000062384,0,346809088
154,801439,801539,801489.000,1.000062384,0,346809088
155,801439,801539,801489.000,1.000062384,0,346809088
156,801439,801539,801489.000,1.000062384,0,346809088
157,801439,801539,801489.000,1.000062384,0,346809088
158,801439,801539,801489.000,1.000062384,0,346809088
159,801439,801539,801489.000,1.000062384,0,346809088
160,801439,801539,801489.000,1.000062384,0,346809088
161,801439,801539,801489.000,1.000062384,0,346809088
162,801439,801539,801489.000,1.000062384,0,346809088
163,801439,801539,801489.000,1.000062384,0,346809088
164,801439,801539,801489.000,1.000062384,0,346809088
165,801439,801539,801489.000,1.000062384,0,346809088
166,801439,801539,801489.000,1.000062384,0,346809088
167,801439,801539,801489.000,1.000062384,0,346809088
168,801439,801539,801489.000,1.000062384,0,346809088
169,801439,801539,801489.000,1.000062384,0,346809088
170,801439,801539,801489.000,1.000062384,0,346809088
171,801439,801539,801489.000,1.000062384,0,346809088
172,801439,801539,801489.000,1.000062384,0,346809088
173,801439,801539,801489.000,1.000062384,0,346809088
174,801439,801539,801489.000,1.000062384,0,346809088
175,801439,801539,801489.000,1.000062384,0,346809088
176,801439,801539,801489.000,1.000062384,0,346809088
177,801439,801539,801489.000,1.000062384,0,346809088
178,801439,801539,801489.000,1.000062384,0,346809088
179,801439,801539,801489.000,1.000062384,0,346809088
180,801439,801539,801489.000,1.000062384,0,346809088
181,801439,801539,801489.000,1.000062384,0,346809088
182,801439,801539,801489.000,1.000062384,0,346809088
183,801439,801539,801489.000,1.000062384,0,346809088
184,801439,801539,801489.000,1.000062384,0,346809088
185,801439,801539,801489.000,1.000062384,0,346809088
186,801439,801539,801489.000,1.000062384,0,346809088
187,801439,801539,801489.000,1.000062384,0,346809088
188,801439,801539,801489.000,1.000062384,0,346809088
189,801439,801539,801489.000,1.000062384,0,346809088
190,801439,801539,801489.000,1.000062384,0,346809088
191,801439,801539,801489.000,1.000062384,0,346809088
192,801439,801539,801489.000,1.000062384,0,346809088
193,801439,801539,801489.000,1.000062384,0,346809088
194,801439,801539,801489.000,1.000062384,0,346809088
195,801439,801539,801489.000,1.000062384,0,346809088
196,801439,801539,801489.000,1.000062384,0,346809088
197,801439,801539,801489.000,1.000062384,0,346809088
198,801439,801539,801489.000,1.000062384,0,346809088
199,801439,801539,801489.000,1.000062384,0,346809088
200,801439,801539,801489.000,1.000062384,0,346809088
201,801439,801539,801489.000,1.000062384,0,346809088
202,801439,801539,801489.000,1.000062384,0,346809088
203,801439,801539,801489.000,1.000062384,0,346809088
204,801439,801539,801489.000,1.000062384,0,346809088
205,801439,801539,801489.000,1.000062384,0,346809088
206,801439,801539,801489.000,1.000062384,0,346809088
207,801439,801539,801489.000,1.000062384,0,346809088
208,801439,801539,801489.000,1.000062384,0,346809088
209,801439,801539,801489.000,1.000062384,0,346809088
210,801439,801539,801489.000,1.000062384,0,346809088
211,801439,801539,801489.000,1.000062384,0,346809088
212,801439,801539,801489.000,1.000062384,0,346809088
213,801439,801539,801489.000,1.000062384,0,346809088
214,801439,801539,801489.000,1.000062384,0,346809088
215,801439,801539,801489.000,1.000062384,0,346809088
216,801439,801539,801489.000,1.000062384,0,346809088
217,801439,801539,801489.000,1.000062384,0,346809088
218,801439,801539,801489.000,1.000062384,0,346809088
219,801439,801539,801489.000,1.000062384,0,346809088
220,801439,801539,801489.000,1.000062384,0,346809088
221,801439,801539,801489.000,1.000062384,0,346809088
222,801439,801539,801489.000,1.000062384,0,346809088
223,801439,801539,801489.000,1.000062384,0,346809088
224,801439,801539,801489.000,1.000062384,0,346809088
225,801439,801539,801489.000,1.000062384,0,346809088
226,801439,801539,801489.000,1.000062384,0,346809088
227,801439,801539,801489.000,1.000062384,0,346809088
228,801439,801539,801489.000,1.000062384,0,346809088
229,801439,801539,801489.000,1.000062384,0,346809088
230,801439,801539,801489.000,1.000062384,0,346809088
231,801439,801539,801489.000,1.000062384,0,346809088
232,801439,801539,801489.000,1.000062384,0,346809088
233,801439,801539,801489.000,1.000062384,0,346809088
234,801439,801539,801489.000,1.000062384,0,346809088
235,801439,801539,801489.000,1.000062384,0,346809088
236,801439,801539,801489.000,1.000062384,0,346809088
237,801439,801539,801489.000,1.000062384,0,346809088
238,801439,801539,801489.000,1.000062384,0,346809088
239,801439,801539,801489.000,1.000062384,0,346809088
240,801439,801539,801489.000,1.000062384,0,346809088
